dataset,panel,arm,policy,mse,mae,raw_mae
traffic,E_FIXED,LAST_VALUE,BASELINE,2.571855496665303,1.0768462659318725,0.05463174094542378
traffic,E_FIXED,LH,P_LAST20,0.3855144335830374,0.32183705294215065,0.016903248941049828
traffic,E_FIXED,LH,P_LR_FIXED,0.3855144335830374,0.32183705294215065,0.016903248941049828
traffic,E_FIXED,LH,P_MAIN,0.3855144335830374,0.32183705294215065,0.016903248941049828
traffic,E_FIXED,LH,P_VFIXED,0.386115100573348,0.32266188402451174,0.016955219934110453
traffic,E_FIXED,PRIOR,P_LAST20,0.39976762695717083,0.339939359127728,0.017829480500053757
traffic,E_FIXED,PRIOR,P_LR_FIXED,0.3996647860493992,0.34056197065363514,0.017866095404280132
traffic,E_FIXED,PRIOR,P_MAIN,0.3996647860493992,0.34056197065363514,0.017866095404280132
traffic,E_FIXED,PRIOR,P_VFIXED,0.4004696843776084,0.3438421557600277,0.018029963554705614
traffic,E_FIXED,SEASONAL_NAIVE,BASELINE,0.9814488091024985,0.4887845378201704,0.02545441171014752
traffic,E_FIXED,SIDE,P_LAST20,0.3986227202247279,0.33923594957491693,0.017776987872593773
traffic,E_FIXED,SIDE,P_LR_FIXED,0.39778533808867184,0.33946172381136774,0.01780119246404347
traffic,E_FIXED,SIDE,P_MAIN,0.39778533808867184,0.33946172381136774,0.01780119246404347
traffic,E_FIXED,SIDE,P_VFIXED,0.3984091972667791,0.3400215780501294,0.01782892952400425
traffic,E_MIXED,INIT,BASELINE,1.3075718530896694,0.7957219475351242,0.04096594434880283
traffic,E_MIXED,LAST_VALUE,BASELINE,2.2623996562520743,1.0254811340208645,0.052427881823779596
traffic,E_MIXED,LH,P_LAST20,0.38781600216426443,0.3217277281527166,0.016854080998889562
traffic,E_MIXED,LH,P_LR_FIXED,0.38781600216426443,0.3217277281527166,0.016854080998889562
traffic,E_MIXED,LH,P_MAIN,0.38781600216426443,0.3217277281527166,0.016854080998889562
traffic,E_MIXED,LH,P_VFIXED,0.38817280676848814,0.322423676593481,0.016895882599400818
traffic,E_MIXED,PRIOR,P_LAST20,0.4028175282947036,0.33773513294118573,0.01768123268898321
traffic,E_MIXED,PRIOR,P_LR_FIXED,0.40400466208177227,0.3393624281095499,0.017763547283401893
traffic,E_MIXED,PRIOR,P_MAIN,0.40400466208177227,0.3393624281095499,0.017763547283401893
traffic,E_MIXED,PRIOR,P_VFIXED,0.40277936111241086,0.3410487978131007,0.017850133277461606
traffic,E_MIXED,SEASONAL_NAIVE,BASELINE,0.951668496046134,0.48109239269306203,0.02502657606932731
traffic,E_MIXED,SIDE,P_LAST20,0.40333510828992464,0.33913413428470657,0.017760875579299142
traffic,E_MIXED,SIDE,P_LR_FIXED,0.40304394004025496,0.3397016584901608,0.017789777718347836
traffic,E_MIXED,SIDE,P_MAIN,0.40304394004025496,0.3397016584901608,0.017789777718347836
traffic,E_MIXED,SIDE,P_VFIXED,0.4036014723254789,0.3407557338427032,0.01785233742777988
