role,origin,phase,horizon_end
V_CAL,12293,5,12341
V_CAL,12294,6,12342
V_CAL,12295,7,12343
V_CAL,12296,8,12344
V_CAL,12297,9,12345
V_CAL,12298,10,12346
V_CAL,12299,11,12347
V_CAL,12300,12,12348
V_CAL,12301,13,12349
V_CAL,12302,14,12350
V_CAL,12303,15,12351
V_CAL,13968,0,14016
V_CAL,13969,1,14017
V_CAL,13970,2,14018
V_CAL,13971,3,14019
V_CAL,13972,4,14020
V_CAL,13973,5,14021
V_CAL,13974,6,14022
V_CAL,13975,7,14023
E_DISCOVERY,14035,19,14083
E_DISCOVERY,14036,20,14084
E_DISCOVERY,14037,21,14085
E_DISCOVERY,14038,22,14086
E_DISCOVERY,14039,23,14087
E_DISCOVERY,14040,0,14088
E_DISCOVERY,14041,1,14089
E_DISCOVERY,14042,2,14090
E_DISCOVERY,14043,3,14091
E_DISCOVERY,14044,4,14092
E_DISCOVERY,14045,5,14093
E_DISCOVERY,14046,6,14094
E_DISCOVERY,14047,7,14095
E_DISCOVERY,14048,8,14096
E_DISCOVERY,14049,9,14097
E_DISCOVERY,14050,10,14098
E_DISCOVERY,14051,11,14099
E_DISCOVERY,14052,12,14100
E_DISCOVERY,14053,13,14101
E_DISCOVERY,14054,14,14102
E_DISCOVERY,14055,15,14103
E_DISCOVERY,14056,16,14104
E_DISCOVERY,14057,17,14105
E_DISCOVERY,14058,18,14106
E_DISCOVERY,15745,1,15793
E_DISCOVERY,15746,2,15794
E_DISCOVERY,15747,3,15795
E_DISCOVERY,15748,4,15796
E_DISCOVERY,15749,5,15797
E_DISCOVERY,15750,6,15798
E_DISCOVERY,15751,7,15799
E_DISCOVERY,15752,8,15800
E_DISCOVERY,15753,9,15801
E_DISCOVERY,15754,10,15802
E_DISCOVERY,15755,11,15803
E_DISCOVERY,15756,12,15804
E_DISCOVERY,15757,13,15805
E_DISCOVERY,15758,14,15806
E_DISCOVERY,15759,15,15807
E_DISCOVERY,15768,0,15816
E_DISCOVERY,17473,1,17521
E_DISCOVERY,17474,2,17522
E_DISCOVERY,17475,3,17523
E_DISCOVERY,17476,4,17524
E_DISCOVERY,17477,5,17525
E_DISCOVERY,17478,6,17526
E_DISCOVERY,17479,7,17527
E_DISCOVERY,17480,8,17528
E_DISCOVERY,17481,9,17529
E_DISCOVERY,17482,10,17530
E_DISCOVERY,17483,11,17531
E_DISCOVERY,17484,12,17532
E_DISCOVERY,17485,13,17533
E_DISCOVERY,17486,14,17534
E_DISCOVERY,17487,15,17535
E_DISCOVERY,17488,16,17536
E_DISCOVERY,17489,17,17537
E_DISCOVERY,17490,18,17538
E_DISCOVERY,17491,19,17539
E_DISCOVERY,17492,20,17540
E_DISCOVERY,17493,21,17541
E_DISCOVERY,17494,22,17542
E_DISCOVERY,17495,23,17543
E_DISCOVERY,17496,0,17544
