role,origin,phase,horizon_end
V_SELECT,18213,21,18261
V_SELECT,18310,22,18358
V_SELECT,18360,0,18408
V_CAL,18431,23,18479
V_CAL,18480,0,18528
V_CAL,18577,1,18625
V_CAL,18650,2,18698
V_CAL,18747,3,18795
V_CAL,18819,3,18867
V_CAL,18916,4,18964
V_CAL,18989,5,19037
V_CAL,19086,6,19134
V_CAL,19158,6,19206
V_CAL,19255,7,19303
V_CAL,19328,8,19376
V_CAL,19401,9,19449
V_CAL,19497,9,19545
V_CAL,19570,10,19618
V_CAL,19667,11,19715
V_CAL,19740,12,19788
V_CAL,19836,12,19884
V_CAL,19909,13,19957
V_CAL,20006,14,20054
V_CAL,20079,15,20127
V_CAL,20151,15,20199
V_CAL,20248,16,20296
V_CAL,20321,17,20369
V_CAL,20418,18,20466
V_CAL,20490,18,20538
V_CAL,20587,19,20635
V_CAL,20660,20,20708
V_CAL,20757,21,20805
V_CAL,20829,21,20877
V_CAL,20926,22,20974
V_CAL,20976,0,21024
E_DISCOVERY,21047,23,21095
E_DISCOVERY,21096,0,21144
E_DISCOVERY,21192,0,21240
E_DISCOVERY,21265,1,21313
E_DISCOVERY,21361,1,21409
E_DISCOVERY,21433,1,21481
E_DISCOVERY,21530,2,21578
E_DISCOVERY,21602,2,21650
E_DISCOVERY,21699,3,21747
E_DISCOVERY,21771,3,21819
E_DISCOVERY,21867,3,21915
E_DISCOVERY,21940,4,21988
E_DISCOVERY,22036,4,22084
E_DISCOVERY,22108,4,22156
E_DISCOVERY,22181,5,22229
E_DISCOVERY,22277,5,22325
E_DISCOVERY,22350,6,22398
E_DISCOVERY,22446,6,22494
E_DISCOVERY,22518,6,22566
E_DISCOVERY,22615,7,22663
E_DISCOVERY,22687,7,22735
E_DISCOVERY,22783,7,22831
E_DISCOVERY,22856,8,22904
E_DISCOVERY,22952,8,23000
E_DISCOVERY,23025,9,23073
E_DISCOVERY,23121,9,23169
E_DISCOVERY,23193,9,23241
E_DISCOVERY,23266,10,23314
E_DISCOVERY,23362,10,23410
E_DISCOVERY,23434,10,23482
E_DISCOVERY,23531,11,23579
E_DISCOVERY,23603,11,23651
E_DISCOVERY,23700,12,23748
E_DISCOVERY,23772,12,23820
E_DISCOVERY,23868,12,23916
E_DISCOVERY,23941,13,23989
E_DISCOVERY,24037,13,24085
E_DISCOVERY,24109,13,24157
E_DISCOVERY,24182,14,24230
E_DISCOVERY,24278,14,24326
E_DISCOVERY,24351,15,24399
E_DISCOVERY,24447,15,24495
E_DISCOVERY,24519,15,24567
E_DISCOVERY,24616,16,24664
E_DISCOVERY,24688,16,24736
E_DISCOVERY,24784,16,24832
E_DISCOVERY,24857,17,24905
E_DISCOVERY,24953,17,25001
E_DISCOVERY,25026,18,25074
E_DISCOVERY,25122,18,25170
E_DISCOVERY,25194,18,25242
E_DISCOVERY,25267,19,25315
E_DISCOVERY,25363,19,25411
E_DISCOVERY,25435,19,25483
E_DISCOVERY,25532,20,25580
E_DISCOVERY,25604,20,25652
E_DISCOVERY,25701,21,25749
E_DISCOVERY,25773,21,25821
E_DISCOVERY,25869,21,25917
E_DISCOVERY,25942,22,25990
E_DISCOVERY,26038,22,26086
E_DISCOVERY,26110,22,26158
E_DISCOVERY,26207,23,26255
E_DISCOVERY,26256,0,26304
