role,origin,phase,horizon_end
E_DISCOVERY,14571,3,14643
E_DISCOVERY,14620,4,14692
E_DISCOVERY,14668,4,14740
E_DISCOVERY,14740,4,14812
E_DISCOVERY,14789,5,14861
E_DISCOVERY,14837,5,14909
E_DISCOVERY,14910,6,14982
E_DISCOVERY,14958,6,15030
E_DISCOVERY,15006,6,15078
E_DISCOVERY,15055,7,15127
E_DISCOVERY,15127,7,15199
E_DISCOVERY,15175,7,15247
E_DISCOVERY,15224,8,15296
E_DISCOVERY,15296,8,15368
E_DISCOVERY,15345,9,15417
E_DISCOVERY,15393,9,15465
E_DISCOVERY,15441,9,15513
E_DISCOVERY,15514,10,15586
E_DISCOVERY,15562,10,15634
E_DISCOVERY,15610,10,15682
E_DISCOVERY,15683,11,15755
E_DISCOVERY,15731,11,15803
E_DISCOVERY,15780,12,15852
E_DISCOVERY,15828,12,15900
E_DISCOVERY,15900,12,15972
E_DISCOVERY,15949,13,16021
E_DISCOVERY,15997,13,16069
E_DISCOVERY,16069,13,16141
E_DISCOVERY,16118,14,16190
E_DISCOVERY,16166,14,16238
E_DISCOVERY,16215,15,16287
E_DISCOVERY,16287,15,16359
E_DISCOVERY,16335,15,16407
E_DISCOVERY,16384,16,16456
E_DISCOVERY,16456,16,16528
E_DISCOVERY,16504,16,16576
E_DISCOVERY,16553,17,16625
E_DISCOVERY,16601,17,16673
E_DISCOVERY,16674,18,16746
E_DISCOVERY,16722,18,16794
E_DISCOVERY,16770,18,16842
E_DISCOVERY,16843,19,16915
E_DISCOVERY,16891,19,16963
E_DISCOVERY,16939,19,17011
E_DISCOVERY,16988,20,17060
E_DISCOVERY,17060,20,17132
E_DISCOVERY,17109,21,17181
E_DISCOVERY,17157,21,17229
E_DISCOVERY,17229,21,17301
E_DISCOVERY,17278,22,17350
E_DISCOVERY,17326,22,17398
E_DISCOVERY,17374,22,17446
E_DISCOVERY,17447,23,17519
E_DISCOVERY,17472,0,17544
